補助金名,補助金上限額,補助率,対象地域,従業員数の上限,募集期間,詳細URL
令和7年度医療DX人材育成支援事業|民間医療機関向け補助金概要|東京都保健医療局,,10分の10,東京都保健医療局,,2026-03-31,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/dx_zinzai
医療ＤＸ人材育成支援事業補助金に係る交付申請書,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-06-26-101119-427
医療ＤＸ人材育成支援事業計画書,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-06-26-101202-739
令和７年度医療ＤＸ人材育成支援事業補助金申請手続きの手引き,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-07-03-100542-037
医療ＤＸ人材育成支援事業実施要綱,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-04-21-193557-786
医療ＤＸ人材育成支援事業補助金交付要綱,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-04-21-193629-474
東京都生産性向上・職場環境整備等支援事業補助金|事業主の方へ|東京都保健医療局,18万円,１０分の１０,東京都保健医療局,,2026-03-31,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/productivity
東京都生産性向上・職場環境等整備支援事業補助金交付要綱,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-08-01-132920-835
東京都医療機関等物価高騰緊急対策支援金（令和７年度）|民間医療機関向け補助金概要|東京都保健医療局,15円,,東京都保健医療局,,2025-09-30,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka
支援金のご案内はがき（病院、有床診療所及び有床助産所向け）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-07-09-111014-520
支援金のご案内はがき（無床診療所、歯科診療所、無床助産所、施術所及び歯科技工所向け）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-08-12-111214-652
令和７年度東京都医療機関等物価高騰緊急対策支援金についてのQ&A,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/2025-06-26-110416-673
東京都協定締結医療機関施設・設備費補助金等|医療機関の方へ|東京都保健医療局,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kansen/iryokikan/kyouteihojyokin
医療機関に対するPCR検査等の精度管理支援事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kansen/iryokikan/seidokanri
東京都協定締結医療機関施設・設備費補助金等,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kansen/iryokikan/kyouteihojyokin
令和５年度新型コロナウイルス感染症流行下における介護サービス事業所等のサービス 提供体制確保事業補助金に係る消費税仕入控除税額報告書の提出について（令和５年度に申請を行った分）,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/r5servicekakuho_shouhizeihoukoku
令和5年度介護サービス事業所送迎バス等安全対策支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/sogeibasu
令和5年度介護サービス事業所送迎バス等安全対策支援事業 消費税仕入控除税額報告書の提出について,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/sogeibasu_syouhizei
令和７年度訪問系介護サービス暑さ対策緊急支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/kaigoatsusataisaku
令和7年度介護サービス事業所燃料費高騰緊急対策支援金事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/kaigo_r7bukkakoutou
令和4年度新型コロナウイルス感染症流行下における介護サービス事業所等のサービス提供体制確保事業補助金に係る消費税仕入控除税額報告書の提出について,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/r4servicekakuho_shouhizeihoukoku
医療助成,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/seikatsu/josei
相談・助成制度,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kiban/sodan
補助金交付要綱,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/documents/d/fukushi/r7saiyouyoukou
補助金交付要綱,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/documents/d/fukushi/r7-jitenshayoukou
介護サービス事業所のＢＣＰ策定支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/kaigo_bcpshien
介護職員処遇改善支援補助金について（令和6年2月から5月）,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/kaigo_lib/shogukaizen_shien_hojokin_r6
介護職員処遇改善支援補助金について（令和4年2月から9月）,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/kaigo_lib/shogukaizen_shien_hojokin
令和5年度東京都高齢者施設等事業継続支援事業【地域密着型施設・介護療養型医療施設向け】,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/kaigo_lib/jigyoukeizoku
介護職員等処遇改善加算取得促進支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/syoguukasansyutokusien
次世代介護機器の活用支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/jisedaikaigo
次世代介護機器の活用支援事業トップ,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/jisedaikaigo
次世代介護機器導入促進支援事業(旧：次世代介護機器の活用支援事業),,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/jisedaikaigo/jisedaigaiyou
デジタル機器導入促進支援事業(旧：ICT機器活用による介護事業所の負担軽減支援事業),,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/ictkikikatsuyou
代替職員の確保による現任介護職員等の研修支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/daitai
介護職員奨学金返済・育成支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/shougakukin
東京都介護職員宿舎借り上げ支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/shukusha
令和6年度人材活用に向けた介護事業所の協働促進事業費補助金の交付申請の受付を開始しました,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/kyodosokushin.html
介護職員奨学金返済・育成支援事業,,,東京都福祉局,,,https://www.fukushizaidan.jp/117shougakukin/
東京都介護職員宿舎借り上げ支援事業,,,東京都福祉局,,,https://www.fukushizaidan.jp/304shukusha/
介護施設内保育施設運営支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/shisetu/kaigojinzai/shisetsunaihoiku
介護職員処遇改善加算等取得促進支援事業,,,東京都福祉局,,,https://www.tokyosr.jp/fukushikaigo_syoguukaizenkasan/
現任介護職員資格取得支援事業,,,東京都福祉局,,,https://www.fukushizaidan.jp/103genninkaigo/
経済連携協定等に基づく外国人介護福祉士候補者受入れ支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/gaikokujinzai
外国人技能実習制度に基づく外国人介護実習生の受入れ支援事業,,,東京都福祉局,,,https://www.fukushi.metro.tokyo.lg.jp/kourei/hoken/gaikokujinzai
